ID PCL_L
01 0.5666666666666667
03 0.4916666666666667
04 0.55
05 0.475
06 0.6166666666666667
07 0.6000000000000001
08 0.5583333333333333
09 0.5416666666666667
10 0.525
11 0.5416666666666667
12 0.5333333333333333
13 0.4666666666666667
14 0.5333333333333333
15 0.5083333333333333
16 0.55
17 0.6666666666666666
18 0.5583333333333333
19 0.6166666666666667
20 0.55
21 0.5166666666666667
22 0.5166666666666667
23 0.44166666666666665
24 0.625
25 0.55
26 0.4916666666666667
27 0.5416666666666667
28 0.5
29 0.5833333333333334
30 0.5583333333333333
